"NombreMunicipio","CodigoMunicipio","Ubicación","NombreRegion","CodigoRegion","Anio","CausaMortalidad","TipoPoblacionObjetivo","NumeroPoblacionObjetivo","NumeroCasos"
"Nariño","05483","POINT (-75.176323 5.609727)","ORIENTE","7","2005","Suicidios","Poblacion total","12,632","0"
"Nechí","05495","POINT (-74.775013 8.095003)","BAJO CAUCA","2","2005","Suicidios","Poblacion total","20,179","0"
"Necoclí","05490","POINT (-76.786829 8.424299)","URABA","9","2005","Suicidios","Poblacion total","36,466","2"
"Olaya","05501","POINT (-75.81238 6.628142)","OCCIDENTE","6","2005","Suicidios","Poblacion total","3,224","0"
"Peque","05543","POINT (-75.908927 7.021696)","OCCIDENTE","6","2005","Suicidios","Poblacion total","7,822","0"
"Pueblorrico","05576","POINT (-75.841914 5.790844)","SUROESTE","8","2005","Suicidios","Poblacion total","8,969","1"
"Puerto Berrío","05579","POINT (-74.402022 6.490753)","MAGDALENA MEDIO","3","2005","Suicidios","Poblacion total","34,728","3"
"Puerto Nare","05585","POINT (-74.581675 6.187952)","MAGDALENA MEDIO","3","2005","Suicidios","Poblacion total","15,171","3"
"Puerto Triunfo","05591","POINT (-74.640079 5.87335)","MAGDALENA MEDIO","3","2005","Suicidios","Poblacion total","14,136","1"
"Remedios","05604","POINT (-74.69368 7.02808)","NORDESTE","4","2005","Suicidios","Poblacion total","24,785","2"
"Rionegro","05615","POINT (-75.373872 6.153548)","ORIENTE","7","2005","Suicidios","Poblacion total","105,684","8"
"Sabanalarga","05628","POINT (-75.818245 6.850482)","OCCIDENTE","6","2005","Suicidios","Poblacion total","8,541","0"
"Sabaneta","05631","POINT (-75.615491 6.15156)","VALLE DE ABURRA","1","2005","Suicidios","Poblacion total","58,117","3"
"Salgar","05642","POINT (-75.979184 5.963438)","SUROESTE","8","2005","Suicidios","Poblacion total","19,884","3"
"San Andrés de Cuerquia","05647","POINT (-75.67649 6.914739)","NORTE","5","2005","Suicidios","Poblacion total","7,699","0"
"San Carlos","05649","POINT (-74.992086 6.188726)","ORIENTE","7","2005","Suicidios","Poblacion total","20,403","0"
"San Francisco","05652","POINT (-75.102069 5.964854)","ORIENTE","7","2005","Suicidios","Poblacion total","5,990","0"
"San Jerónimo","05656","POINT (-75.72792 6.442677)","OCCIDENTE","6","2005","Suicidios","Poblacion total","13,470","0"
"San José de La Montaña","05658","POINT (-75.683472 6.848958)","NORTE","5","2005","Suicidios","Poblacion total","3,234","0"
"San Juan de Urabá","05659","POINT (-76.524538 8.766496)","URABA","9","2005","Suicidios","Poblacion total","16,333","0"
"San Luis","05660","POINT (-74.994436 6.042772)","ORIENTE","7","2005","Suicidios","Poblacion total","13,498","1"
"San Pedro de Los Milagros","05664","POINT (-75.555959 6.461815)","NORTE","5","2005","Suicidios","Poblacion total","18,921","1"
"San Pedro de Urabá","05665","POINT (-76.382921 8.277916)","URABA","9","2005","Suicidios","Poblacion total","27,625","1"
"San Rafael","05667","POINT (-75.028257 6.295426)","ORIENTE","7","2005","Suicidios","Poblacion total","16,716","0"
"San Roque","05670","POINT (-75.019485 6.485044)","NORDESTE","4","2005","Suicidios","Poblacion total","20,924","0"
"San Vicente","05674","POINT (-75.331782 6.282678)","ORIENTE","7","2005","Suicidios","Poblacion total","21,761","2"
"Santa Bárbara","05679","POINT (-75.568167 5.874215)","SUROESTE","8","2005","Suicidios","Poblacion total","28,269","0"
"Santa Fe de Antioquia","05042","POINT (-75.827742 6.556455)","OCCIDENTE","6","2005","Suicidios","Poblacion total","23,457","2"
"Santa Rosa de Osos","05686","POINT (-75.460696 6.648965)","NORTE","5","2005","Suicidios","Poblacion total","31,712","2"
"Santo Domingo","05690","POINT (-75.164398 6.471292)","NORDESTE","4","2005","Suicidios","Poblacion total","13,959","0"
"Segovia","05736","POINT (-75.164407 6.471289)","NORDESTE","4","2005","Suicidios","Poblacion total","31,463","2"
"Sonsón","05756","POINT (-75.31098 5.709254)","ORIENTE","7","2005","Suicidios","Poblacion total","38,145","2"
"Sopetrán","05761","POINT (-75.742487 6.500955)","OCCIDENTE","6","2005","Suicidios","Poblacion total","14,286","0"
"Támesis","05789","POINT (-75.712508 5.662788)","SUROESTE","8","2005","Suicidios","Poblacion total","18,259","2"
"Tarazá","05790","POINT (-75.39983 7.58049)","BAJO CAUCA","2","2005","Suicidios","Poblacion total","22,141","4"
"Tarso","05792","POINT (-75.82213 5.865469)","SUROESTE","8","2005","Suicidios","Poblacion total","6,526","1"
"Titiribí","05809","POINT (-75.793717 6.063419)","SUROESTE","8","2005","Suicidios","Poblacion total","12,154","0"
"Toledo","05819","POINT (-75.691555 7.01096)","NORTE","5","2005","Suicidios","Poblacion total","5,596","2"
"Turbo","05837","POINT (-76.728476 8.095151)","URABA","9","2005","Suicidios","Poblacion total","103,592","3"
"Uramita","05842","POINT (-76.266639 7.001396)","OCCIDENTE","6","2005","Suicidios","Poblacion total","7,690","0"
"Urrao","05847","POINT (-76.134557 6.317018)","SUROESTE","8","2005","Suicidios","Poblacion total","29,075","1"
"Valdivia","05854","POINT (-75.391627 7.292119)","NORTE","5","2005","Suicidios","Poblacion total","13,596","4"
"Valparaíso","05856","POINT (-75.62448 5.616356)","SUROESTE","8","2005","Suicidios","Poblacion total","7,963","0"
"Vegachí","05858","POINT (-74.798745 6.77151)","NORDESTE","4","2005","Suicidios","Poblacion total","12,033","0"
"Venecia","05861","POINT (-75.733897 5.963555)","SUROESTE","8","2005","Suicidios","Poblacion total","12,141","0"
"Vigía del Fuerte","05873","POINT (-76.896085 6.589081)","URABA","9","2005","Suicidios","Poblacion total","8,118","0"
"Yalí","05885","POINT (-74.842107 6.675328)","NORDESTE","4","2005","Suicidios","Poblacion total","7,669","0"
"Yarumal","05887","POINT (-75.416733 6.963321)","NORTE","5","2005","Suicidios","Poblacion total","38,536","2"
"Yolombó","05890","POINT (-75.01183 6.59926)","NORDESTE","4","2005","Suicidios","Poblacion total","22,260","3"
"Yondó","05893","POINT (-73.909599 7.007398)","MAGDALENA MEDIO","3","2005","Suicidios","Poblacion total","14,459","1"
"Zaragoza","05895","POINT (-74.868261 7.492548)","BAJO CAUCA","2","2005","Suicidios","Poblacion total","23,688","1"
"Abejorral","05002","POINT (-75.427045 5.79145)","ORIENTE","7","2006","Suicidios","Poblacion total","22,705","1"
"Abriaquí","05004","POINT (-76.064563 6.63197)","OCCIDENTE","6","2006","Suicidios","Poblacion total","2,652","0"
"Alejandría","05021","POINT (-75.141258 6.376923)","ORIENTE","7","2006","Suicidios","Poblacion total","4,725","0"
"Amagá","05030","POINT (-75.703216 6.04063)","SUROESTE","8","2006","Suicidios","Poblacion total","27,308","3"
"Amalfi","05031","POINT (-75.075028 6.907385)","NORDESTE","4","2006","Suicidios","Poblacion total","23,133","1"
"Andes","05034","POINT (-75.877699 5.655629)","SUROESTE","8","2006","Suicidios","Poblacion total","41,913","3"
"Angelópolis","05036","POINT (-75.710262 6.111531)","SUROESTE","8","2006","Suicidios","Poblacion total","5,868","1"
"Angostura","05038","POINT (-75.334973 6.885789)","NORTE","5","2006","Suicidios","Poblacion total","12,102","0"
"Anorí","05040","POINT (-75.145827 7.073577)","NORDESTE","4","2006","Suicidios","Poblacion total","16,046","3"
"Anzá","05044","POINT (-75.854027 6.303405)","OCCIDENTE","6","2006","Suicidios","Poblacion total","6,812","0"
"Apartadó","05045","POINT (-76.630692 7.887047)","URABA","9","2006","Suicidios","Poblacion total","93,851","6"
"Arboletes","05051","POINT (-76.427353 8.852936)","URABA","9","2006","Suicidios","Poblacion total","29,189","0"
"Argelia","05055","POINT (-75.142821 5.731236)","ORIENTE","7","2006","Suicidios","Poblacion total","9,422","0"
"Armenia","05059","POINT (-75.787666 6.156497)","OCCIDENTE","6","2006","Suicidios","Poblacion total","5,911","0"
"Barbosa","05079","POINT (-75.331286 6.437248)","VALLE DE ABURRA","1","2006","Suicidios","Poblacion total","44,125","2"
"Bello","05088","POINT (-75.558281 6.334985)","VALLE DE ABURRA","1","2006","Suicidios","Poblacion total","408,940","13"
"Belmira","05086","POINT (-75.667252 6.606713)","NORTE","5","2006","Suicidios","Poblacion total","5,915","0"
"Betania","05091","POINT (-75.976261 5.745292)","SUROESTE","8","2006","Suicidios","Poblacion total","11,386","1"
"Betulia","05093","POINT (-75.984594 6.113454)","SUROESTE","8","2006","Suicidios","Poblacion total","15,624","5"
"Briceño","05107","POINT (-75.551532 7.110465)","NORTE","5","2006","Suicidios","Poblacion total","8,407","1"
"Buriticá","05113","POINT (-75.907102 6.719872)","OCCIDENTE","6","2006","Suicidios","Poblacion total","8,541","0"
"Cáceres","05120","POINT (-75.347874 7.582281)","BAJO CAUCA","2","2006","Suicidios","Poblacion total","25,275","2"
"Caicedo","05125","POINT (-75.982545 6.406072)","OCCIDENTE","6","2006","Suicidios","Poblacion total","7,786","1"
"Caldas","05129","POINT (-75.635534 6.09199)","VALLE DE ABURRA","1","2006","Suicidios","Poblacion total","66,186","5"
"Campamento","05134","POINT (-75.29634 6.979113)","NORTE","5","2006","Suicidios","Poblacion total","9,709","0"
"Cañasgordas","05138","POINT (-76.025603 6.749957)","OCCIDENTE","6","2006","Suicidios","Poblacion total","17,183","1"
"Caracolí","05142","POINT (-74.756712 6.410876)","MAGDALENA MEDIO","3","2006","Suicidios","Poblacion total","5,237","0"
"Caramanta","05145","POINT (-75.644483 5.548681)","SUROESTE","8","2006","Suicidios","Poblacion total","5,903","0"
"Carepa","05147","POINT (-76.655568 7.755937)","URABA","9","2006","Suicidios","Poblacion total","35,430","1"
"Carolina","05150","POINT (-75.281494 6.723626)","NORTE","5","2006","Suicidios","Poblacion total","3,910","0"
"Caucasia","05154","POINT (-75.197397 7.989436)","BAJO CAUCA","2","2006","Suicidios","Poblacion total","72,063","3"
"Chigorodó","05172","POINT (-76.685044 7.672652)","URABA","9","2006","Suicidios","Poblacion total","45,106","1"
"Cisneros","05190","POINT (-75.087684 6.538526)","NORDESTE","4","2006","Suicidios","Poblacion total","9,541","1"
"Ciudad Bolívar","05101","POINT (-76.020994 5.850015)","SUROESTE","8","2006","Suicidios","Poblacion total","27,165","4"
"Cocorná","05197","POINT (-75.185273 6.057769)","ORIENTE","7","2006","Suicidios","Poblacion total","18,773","1"
"Concepción","05206","POINT (-75.259425 6.394975)","ORIENTE","7","2006","Suicidios","Poblacion total","5,365","1"
"Concordia","05209","POINT (-75.907256 6.046154)","SUROESTE","8","2006","Suicidios","Poblacion total","21,522","0"
"Copacabana","05212","POINT (-75.508181 6.346097)","VALLE DE ABURRA","1","2006","Suicidios","Poblacion total","64,441","3"
"Dabeiba","05234","POINT (-76.266682 7.001567)","OCCIDENTE","6","2006","Suicidios","Poblacion total","22,299","1"
"Donmatías","05237","POINT (-75.394608 6.486305)","NORTE","5","2006","Suicidios","Poblacion total","16,254","0"
"Ebéjico","05240","POINT (-75.768514 6.326468)","OCCIDENTE","6","2006","Suicidios","Poblacion total","13,511","2"
"El Bagre","05250","POINT (-74.812977 7.60005)","BAJO CAUCA","2","2006","Suicidios","Poblacion total","40,234","3"
"El Carmen de Viboral","05148","POINT (-75.335351 6.083283)","ORIENTE","7","2006","Suicidios","Poblacion total","49,038","0"
"El Peñol","05541","POINT (-75.161743 6.234274)","ORIENTE","7","2006","Suicidios","Poblacion total","18,685","0"
"El Retiro","05607","POINT (-75.502683 6.057336)","ORIENTE","7","2006","Suicidios","Poblacion total","19,160","3"
"El Santuario","05697","POINT (-75.265676 6.139528)","ORIENTE","7","2006","Suicidios","Poblacion total","31,141","2"
"Entrerríos","05264","POINT (-75.517037 6.567385)","NORTE","5","2006","Suicidios","Poblacion total","9,149","0"
